順位,passengers,name,路線名,区分,事業者名,都道府県コード
1,64852,新橋,東京臨海新交通臨海線,三セク,ゆりかもめ,13
2,23436,台場,東京臨海新交通臨海線,三セク,ゆりかもめ,13
3,22518,豊洲,東京臨海新交通臨海線,三セク,ゆりかもめ,13
4,20916,国際展示場正門,東京臨海新交通臨海線,三セク,ゆりかもめ,13
5,16944,お台場海浜公園,東京臨海新交通臨海線,三セク,ゆりかもめ,13
6,13744,テレコムセンター,東京臨海新交通臨海線,三セク,ゆりかもめ,13
7,9045,汐留,東京臨海新交通臨海線,三セク,ゆりかもめ,13
8,5673,青海,東京臨海新交通臨海線,三セク,ゆりかもめ,13
9,5308,芝浦ふ頭,東京臨海新交通臨海線,三セク,ゆりかもめ,13
10,5061,有明,東京臨海新交通臨海線,三セク,ゆりかもめ,13
11,5006,竹芝,東京臨海新交通臨海線,三セク,ゆりかもめ,13
12,3942,有明テニスの森,東京臨海新交通臨海線,三セク,ゆりかもめ,13
13,3924,新豊洲,東京臨海新交通臨海線,三セク,ゆりかもめ,13
14,3590,船の科学館,東京臨海新交通臨海線,三セク,ゆりかもめ,13
15,2583,市場前,東京臨海新交通臨海線,三セク,ゆりかもめ,13
16,2282,日の出,東京臨海新交通臨海線,三セク,ゆりかもめ,13
